image,reading,eating,gaming,conducting business,studying,socializing,cleaning,playing,training,exercise,research,congregating,competing,working,waiting in line,using tools,shopping,mean_h,mean_s,mean_b,std_h,std_s,std_b,fourier_slope,fourier_sigma,first_order_ed,second_order_ed,edge_density,entropy,fractal_D,orientation5,length7,curvature7,enclosed area,no horizon,far-away horizon,open area,semi-enclosed area,bed,window ,cabinet,table,chair,"painting, picture",sofa,desk,lamp,cushion,sink,pillow,stove,computer,swivel chair,light,symmetry_lr,symmetry_ud,symmetry_lr_ud,valence,approach,tense,energetic
bedroom__0.png,0.4488824133313114,0.3172332565118501,0.283336843300037,0.2805876561117862,0.287161670214247,0.2851358668502683,0.2761682621000569,0.2576795216617801,0.2590676615681044,0.2225375043147271,0.2651074770914544,0.2488554638125304,0.2154666705884988,0.2841035645847864,0.2519864698141048,0.2430932771047655,0.2312327195810449,0.1032241844212067,0.7511082836147768,0.459512446384804,0.0950935404986401,0.1900176766575316,0.2455612153783483,-2.623679660870999,0.0279652986454766,4.344435855042109,4.391809070377701,232.36491550043604,7.485701217255966,1.5791656133126537,3184.20481198538,1197.23249506309,17.375232977069,0.8301784848660216,0.7189362159834258,0.2599147471950244,0.2259899930205514,0.2106746729708424,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0.3308195882311638,0.2236993746393591,0.2089044299838901,3.809523809523809,3.6666666666666665,2.958333333333333,3.0416666666666665
bedroom__1.png,0.4606895830030919,0.2439127013585388,0.2602433991143709,0.2387766085690034,0.2355641056086837,0.2007259653375527,0.2511707214538345,0.2564916521563329,0.2243417686432345,0.1930307057342435,0.2271302984384262,0.1948134127327257,0.2009553894436539,0.2323701102802367,0.2214595103638823,0.2145501894813934,0.1911652838202422,0.3389081993697451,0.19544942888551,0.4604896599264707,0.3156119232835772,0.2114695892366917,0.1799829659391,-2.588536926157409,0.0115296308918948,3.855090321674144,4.054313504273331,288.81324214128097,7.297763171973864,1.6983706410370458,2530.70420741178,0.0,13.3432812520675,0.7717614637091907,0.7145282373204987,0.2070152514355413,0.2383189999316302,0.2137457780098341,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2956626847810555,0.1868101432091393,0.2731596211352152,3.1739130434782608,3.1739130434782608,3.5416666666666665,3.5
bedroom__10.png,0.4160694920035027,0.2612958881262564,0.2561436489817558,0.2458410968871769,0.245380954981801,0.1995119952984306,0.2883865820790184,0.2860474737461895,0.2281982309559211,0.2585260414169377,0.2426794647739366,0.1910770369993592,0.2616014078207473,0.2207451613758655,0.2309468813777092,0.2342753841689603,0.2237121122440173,0.3834427228853038,0.1445354472155418,0.8186408164828431,0.3340168812432582,0.1934646155040974,0.1186809669476532,-2.5837916025824685,0.008922766615864,4.0264109099514265,4.153596888428996,205.00592877490797,7.030164778946347,1.922512327839648,4038.89763726604,675.005628575445,13.6717843808332,0.7033549086672201,0.6487961927504818,0.2765854713792926,0.2775587275525938,0.2569723829201735,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.3527627894037268,0.3277523058774219,0.252506293589836,3.8260869565217392,3.782608695652174,2.7916666666666665,3.583333333333333
bedroom__100.png,0.4583720846450299,0.2772739858208939,0.2725311348657446,0.2900417630521933,0.2874925124979952,0.2500972785667024,0.268934188964321,0.2709194752647555,0.2680069612014937,0.2405948585518364,0.2740751507360346,0.2292710801000823,0.2466066574844993,0.3202438788834754,0.2573051095690639,0.2414547689187726,0.2224310719319638,0.3974695919828362,0.1399748583463768,0.5784077563316994,0.3614244961295141,0.1630660868838547,0.19978537460278,-2.8971718490479663,0.0061143768977804,4.232615052812477,4.336271063287208,248.7966919493176,7.331984907170328,1.8549922142831503,2421.82100926814,0.0,0.0,0.7905371090084131,0.683520637439984,0.2635743007583336,0.2537573695169504,0.243003755267923,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0.3753715224925544,0.3275152905012163,0.266178099398166,4.791666666666667,4.708333333333333,2.7142857142857144,4.047619047619048
bedroom__101.png,0.4237086363076485,0.2795011595761152,0.2698262338928598,0.2678698928463917,0.2882510422215912,0.2588889691791566,0.2612056901577158,0.2685336452312869,0.2935628609079411,0.26082989557196,0.2689587331396565,0.2635359739359436,0.2766772226187317,0.318977242157446,0.2442920904021617,0.2955502686282856,0.2013171875417181,0.2856080787158738,0.3630630459800578,0.6009321129493463,0.3333222888719327,0.2066496869043616,0.2292835316424132,-2.8452225354046794,0.0087412623118835,3.812066669439095,4.108838574993698,409.05805908073273,7.451529222176544,1.8577731049545416,3545.50822737853,0.0,20.6672521050425,0.7035197553687654,0.6837157622449634,0.248178588440936,0.334048433516261,0.2398031524204518,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3762705141981254,0.3105134390490801,0.2683112176428101,2.363636363636364,2.0,4.791666666666667,4.416666666666667
bedroom__102.png,0.5276735373388411,0.3278230472937805,0.2854033014099767,0.2917690241015602,0.3060660559634849,0.2730172504890034,0.2818025503204287,0.2780623311907901,0.2785125142440277,0.2443588195412462,0.2796957216458883,0.261685639053604,0.2482598898702887,0.2908565616278284,0.2616086701868787,0.2742439324066553,0.2291392666616657,0.3134430754792524,0.2160352101736102,0.5623060917075164,0.3378828868155989,0.1944361691573283,0.2702742182708508,-2.904149503681903,0.0262875750295956,4.295910594284571,4.368033784357571,306.14372902483865,7.506718221803638,1.8137557277065937,2847.15094365214,630.245335231932,47.0384017825853,0.74498293033879,0.6770419814120641,0.2795807419285973,0.2622715423500701,0.2637872606067254,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0.3942114279570448,0.3106720552628206,0.306399287345011,4.789473684210527,4.684210526315789,2.4347826086956523,3.0
bedroom__103.png,0.4621478056869131,0.3419956324795291,0.2851419205272303,0.2747375752149472,0.2622855888430942,0.2666370989359244,0.2914069317202594,0.2798213194256809,0.266150794218061,0.2421371493246315,0.2571878131048762,0.2604268575487682,0.2379111455042529,0.2689295191945728,0.2646431357999008,0.2724975670500033,0.233000916280856,0.1758026492167554,0.1322029949129875,0.6226521650326798,0.2073196009805709,0.1065009127257061,0.2135470836607172,-2.7610729596798342,0.0064188410662387,3.995506911947293,4.234117741486855,286.96882006060787,7.002516380324534,1.8789641192632531,3581.96799670642,0.0,57.6858462849088,0.6775518386793776,0.6771799575246534,0.2658129834475944,0.2889357520483534,0.288544278856493,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0.324962838253085,0.379593663443791,0.263302247630661,3.8260869565217392,3.8260869565217392,3.083333333333333,3.1666666666666665
bedroom__104.png,0.5771833223820739,0.3518558279078779,0.2711115407472358,0.2559003477576737,0.282375618177169,0.2796220779236197,0.2453257265640687,0.3137396768889403,0.2661813740512885,0.2328595630517876,0.2315403095488572,0.2671277341568601,0.2232547062588892,0.2025914867204614,0.2240047395594216,0.2107450904462061,0.1870706763658436,0.1907023782360045,0.2164022642986526,0.6425716911764706,0.1965954947000496,0.2112362163251005,0.1974519390758437,-2.9335115370178,0.0133151358454246,4.053814904397889,4.304477883755515,314.17819588715247,7.404088266417408,1.8586176085633384,3525.28500108896,0.0,23.4934586999529,0.7401025305959837,0.7431251877822894,0.2021841481929782,0.2669435507465978,0.2725849935107324,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0.3712292700026485,0.4139925139101951,0.3448486207283754,4.125,4.291666666666667,2.833333333333333,3.6666666666666665
bedroom__105.png,0.4511193023774675,0.2843654787080392,0.2711382042168983,0.2709406665206302,0.2905194662559945,0.2420137856999736,0.264165510726729,0.261943718355892,0.2779542557118771,0.2378126400449464,0.2847101796314743,0.2235037117304689,0.2364217350520701,0.3456537503934644,0.2482815361741591,0.2888111237003486,0.2311121161194473,0.3904869849779381,0.1609446112361894,0.5940481004901961,0.2547991003479815,0.2354972483105626,0.2879874590837057,-2.676824335794844,0.0055983154487766,4.322131138891399,4.368281441651456,269.5675440450202,7.81247255307341,1.8282512510380355,2480.0134981614,1920.79844505461,0.0,0.7645288996001965,0.6905014436598713,0.2532835678711043,0.2594200463635294,0.2345099786647085,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0.3060297626598657,0.3196114455864686,0.2663404274828762,4.375,4.458333333333333,3.952380952380953,4.095238095238095
bedroom__106.png,0.4318461034934306,0.2826141504777328,0.2613319627905535,0.2597028751691252,0.2619683567187232,0.2412379604071019,0.2749276255278117,0.2534249681836122,0.2565867614143264,0.2503396870651956,0.2473656658520666,0.2521084526640189,0.2591429323380655,0.2426503700488749,0.2464445256926419,0.2386676954849575,0.1970538259196,0.1245425790893152,0.3898528078212417,0.5287374514910131,0.1502726117058584,0.2338649954802145,0.2608865073486491,-2.96298646506248,0.0087535549133544,3.538382680971004,3.894938570292498,471.4403702596942,7.750993902615685,1.7408960343922288,4550.85427723126,1668.19285372473,0.0,0.7686288561689008,0.6996294374365498,0.2851443882864686,0.2480686409401055,0.2834707916611143,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0.3505528710522182,0.3873317624568052,0.2857527641763965,5.541666666666667,5.666666666666667,2.142857142857143,2.619047619047619
